rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,time_ref,secs,nsecs,source
1536033311493216627,,217,,1536033311,493127811,'',,1536094367,495757000,fcu
1536033312482044670,,218,,1536033312,481874140,'',,1536094368,494758000,fcu
1536033313482370700,,219,,1536033313,482046239,'',,1536094369,496758000,fcu
1536033314477571988,,220,,1536033314,477237527,'',,1536094370,492759000,fcu
1536033315492375851,,221,,1536033315,491977638,'',,1536094371,492760000,fcu
1536033316482010246,,222,,1536033316,481682473,'',,1536094372,495761000,fcu
1536033317492277937,,223,,1536033317,492022691,'',,1536094373,490761000,fcu
1536033318483546384,,224,,1536033318,483179622,'',,1536094374,494762000,fcu
1536033319482321476,,225,,1536033319,481942476,'',,1536094375,495763000,fcu
1536033320492226343,,226,,1536033320,491469006,'',,1536094376,499764000,fcu
1536033321483269421,,227,,1536033321,482404067,'',,1536094377,495765000,fcu
1536033322492263332,,228,,1536033322,492028912,'',,1536094378,494765000,fcu
1536033323502055082,,229,,1536033323,501812475,'',,1536094379,494766000,fcu
1536033324481246438,,230,,1536033324,480843824,'',,1536094380,491767000,fcu
1536033325502850672,,231,,1536033325,501790462,'',,1536094381,495768000,fcu
1536033326493228828,,232,,1536033326,492208682,'',,1536094382,495769000,fcu
1536033327482402245,,233,,1536033327,482111148,'',,1536094383,492769000,fcu
1536033328482165244,,234,,1536033328,481846684,'',,1536094384,494770000,fcu
1536033329482314968,,235,,1536033329,482108274,'',,1536094385,493771000,fcu
1536033330482849730,,236,,1536033330,482519807,'',,1536094386,491772000,fcu
1536033331482935440,,237,,1536033331,482637917,'',,1536094387,496772000,fcu
1536033332482240174,,238,,1536033332,481784246,'',,1536094388,495773000,fcu
1536033333481618823,,239,,1536033333,481466318,'',,1536094389,493774000,fcu
1536033334481215779,,240,,1536033334,480891406,'',,1536094390,495775000,fcu
1536033335493227289,,241,,1536033335,492103865,'',,1536094391,495775000,fcu
1536033336482530223,,242,,1536033336,482380393,'',,1536094392,494776000,fcu
1536033337482541380,,243,,1536033337,482248320,'',,1536094393,496777000,fcu
1536033338482798420,,244,,1536033338,482516686,'',,1536094394,500778000,fcu
1536033339482728499,,245,,1536033339,482159006,'',,1536094395,497779000,fcu
1536033340481743611,,246,,1536033340,481554468,'',,1536094396,490779000,fcu
1536033341506433009,,247,,1536033341,505692572,'',,1536094397,494780000,fcu
1536033342494319996,,248,,1536033342,493990173,'',,1536094398,493781000,fcu
1536033343483413424,,249,,1536033343,482641373,'',,1536094399,492782000,fcu
1536033344482408998,,250,,1536033344,482025823,'',,1536094400,495782000,fcu
1536033345483073726,,251,,1536033345,482831768,'',,1536094401,492783000,fcu
1536033346480812484,,252,,1536033346,480326131,'',,1536094402,495784000,fcu
1536033347483633895,,253,,1536033347,483169843,'',,1536094403,495785000,fcu
1536033348482436188,,254,,1536033348,482033100,'',,1536094404,494785000,fcu
1536033349492875697,,255,,1536033349,492326854,'',,1536094405,499786000,fcu
1536033350492466990,,256,,1536033350,492278271,'',,1536094406,496787000,fcu
1536033351482895061,,257,,1536033351,482490560,'',,1536094407,494788000,fcu
1536033352493573227,,258,,1536033352,491997638,'',,1536094408,491788000,fcu
1536033353503926270,,259,,1536033353,503380503,'',,1536094409,492789000,fcu
1536033354491373944,,260,,1536033354,491183725,'',,1536094410,494790000,fcu
1536033355483555059,,261,,1536033355,482588990,'',,1536094411,491791000,fcu
1536033356494762730,,262,,1536033356,493653582,'',,1536094412,496792000,fcu
1536033357483683489,,263,,1536033357,483437319,'',,1536094413,494792000,fcu
1536033358482124970,,264,,1536033358,481854699,'',,1536094414,492793000,fcu
1536033359482836913,,265,,1536033359,482642344,'',,1536094415,492794000,fcu
1536033360504667429,,266,,1536033360,504301080,'',,1536094416,495795000,fcu
1536033361482091827,,267,,1536033361,481891433,'',,1536094417,493795000,fcu
1536033362492034832,,268,,1536033362,491489089,'',,1536094418,495796000,fcu
1536033363482663034,,269,,1536033363,482564568,'',,1536094419,493797000,fcu
1536033364481259482,,270,,1536033364,481017212,'',,1536094420,492798000,fcu
1536033365482958419,,271,,1536033365,482631121,'',,1536094421,494799000,fcu
1536033366502756907,,272,,1536033366,502248616,'',,1536094422,492799000,fcu
1536033367482919632,,273,,1536033367,482293361,'',,1536094423,497800000,fcu
1536033368492604966,,274,,1536033368,492484187,'',,1536094424,491801000,fcu
1536033369493519440,,275,,1536033369,493307458,'',,1536094425,495802000,fcu
1536033370491789340,,276,,1536033370,491512794,'',,1536094426,495802000,fcu
1536033371482780004,,277,,1536033371,482407167,'',,1536094427,491803000,fcu
1536033372480840473,,278,,1536033372,480461223,'',,1536094428,494804000,fcu
1536033373483695035,,279,,1536033373,482584211,'',,1536094429,491805000,fcu
1536033374505004472,,280,,1536033374,504626572,'',,1536094430,491805000,fcu
1536033375479901000,,281,,1536033375,479634891,'',,1536094431,494806000,fcu
1536033376482390238,,282,,1536033376,482083578,'',,1536094432,492807000,fcu
1536033377494045861,,283,,1536033377,493726425,'',,1536094433,494808000,fcu
1536033378482166031,,284,,1536033378,481671078,'',,1536094434,494809000,fcu
1536033379492040684,,285,,1536033379,491851953,'',,1536094435,492809000,fcu
1536033380481693592,,286,,1536033380,481368544,'',,1536094436,490810000,fcu
1536033381502845536,,287,,1536033381,502421348,'',,1536094437,495811000,fcu
1536033382494535260,,288,,1536033382,494233226,'',,1536094438,495812000,fcu
1536033383483245288,,289,,1536033383,482938565,'',,1536094439,493812000,fcu
1536033384494226839,,290,,1536033384,493365473,'',,1536094440,492813000,fcu
1536033385513141673,,291,,1536033385,511499220,'',,1536094441,495814000,fcu
1536033386483644371,,292,,1536033386,483024676,'',,1536094442,491815000,fcu
1536033387482428588,,293,,1536033387,481894783,'',,1536094443,492815000,fcu
1536033388481544903,,294,,1536033388,481288908,'',,1536094444,488816000,fcu
1536033389481068132,,295,,1536033389,480796348,'',,1536094445,496817000,fcu
1536033390493005777,,296,,1536033390,492764507,'',,1536094446,492818000,fcu
1536033391492861329,,297,,1536033391,492689224,'',,1536094447,490819000,fcu
1536033392492076673,,298,,1536033392,491803814,'',,1536094448,495819000,fcu
1536033393493361921,,299,,1536033393,493153327,'',,1536094449,493820000,fcu
1536033394482234691,,300,,1536033394,481956482,'',,1536094450,492821000,fcu
1536033395484271152,,301,,1536033395,483845638,'',,1536094451,494822000,fcu
1536033396483349253,,302,,1536033396,482621092,'',,1536094452,494822000,fcu
1536033397483264557,,303,,1536033397,483021237,'',,1536094453,494823000,fcu
1536033398482440987,,304,,1536033398,481705001,'',,1536094454,492824000,fcu
1536033399483060764,,305,,1536033399,482725953,'',,1536094455,492825000,fcu
1536033400503087310,,306,,1536033400,502604032,'',,1536094456,491825000,fcu
1536033401482309891,,307,,1536033401,481968592,'',,1536094457,489826000,fcu
1536033402492806039,,308,,1536033402,492612395,'',,1536094458,491827000,fcu
1536033403492316992,,309,,1536033403,491982356,'',,1536094459,491828000,fcu
1536033404504987361,,310,,1536033404,504500495,'',,1536094460,495829000,fcu
1536033405492826210,,311,,1536033405,492281817,'',,1536094461,493829000,fcu
1536033406482968058,,312,,1536033406,482610622,'',,1536094462,492830000,fcu
1536033407481974745,,313,,1536033407,481578932,'',,1536094463,495831000,fcu
1536033408483390273,,314,,1536033408,483060987,'',,1536094464,490832000,fcu
1536033409481967596,,315,,1536033409,481578821,'',,1536094465,491832000,fcu
1536033410483331072,,316,,1536033410,483187443,'',,1536094466,490833000,fcu
1536033411481528845,,317,,1536033411,481241323,'',,1536094467,490834000,fcu
1536033412492738742,,318,,1536033412,492340766,'',,1536094468,491835000,fcu
1536033413502774700,,319,,1536033413,502465402,'',,1536094469,492836000,fcu
1536033414481868352,,320,,1536033414,481546879,'',,1536094470,497836000,fcu
1536033415483460710,,321,,1536033415,483323531,'',,1536094471,494837000,fcu
1536033416492293292,,322,,1536033416,492096698,'',,1536094472,495838000,fcu
1536033417483035772,,323,,1536033417,482546144,'',,1536094473,491839000,fcu
1536033418482271842,,324,,1536033418,482032471,'',,1536094474,492839000,fcu
1536033419493587291,,325,,1536033419,492401740,'',,1536094475,491840000,fcu
1536033420493920484,,326,,1536033420,493246925,'',,1536094476,492841000,fcu
1536033421481569627,,327,,1536033421,481142888,'',,1536094477,491842000,fcu
1536033422483093408,,328,,1536033422,482516464,'',,1536094478,492842000,fcu
1536033423493686472,,329,,1536033423,492853269,'',,1536094479,494843000,fcu
1536033424503423432,,330,,1536033424,503012257,'',,1536094480,492844000,fcu
1536033425483393225,,331,,1536033425,482627600,'',,1536094481,494845000,fcu
1536033426483027308,,332,,1536033426,482486252,'',,1536094482,495846000,fcu
1536033427482782556,,333,,1536033427,482148886,'',,1536094483,492846000,fcu
