rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,coordinate_frame,type_mask,position,x,y,z,velocity,x,y,z,acceleration_or_force,x,y,z,yaw,yaw_rate
1536033395443071087,,2732,,1536033395,416720832,'',1,0,,-0.0796108469367,-0.118710555136,2.27253603935,,-0.0168607328087,-0.131210058928,2.55534744263,,-0.177223429084,-0.117459595203,8.85784721375,0.183614447713,0.0
1536033395532467444,,2733,,1536033395,517727744,'',1,0,,-0.0796108469367,-0.118710555136,2.42868041992,,-0.0195507220924,-0.126519456506,2.55526185036,,-0.186297744513,-0.124042853713,8.43994426727,0.288313835859,0.0
1536033395623089466,,2734,,1536033395,617732096,'',1,0,,-0.0796108469367,-0.118710555136,2.60747265816,,-0.0218706950545,-0.121822930872,1.97479605675,,-0.170764490962,-0.115326955914,6.92159986496,0.374089926481,0.0
1536033395733829817,,2735,,1536033395,717732096,'',1,0,,-0.0796108469367,-0.118710555136,2.7922501564,,-0.0242175385356,-0.115195997059,0.972246170044,,-0.176046848297,-0.0926777198911,5.13021183014,0.380362600088,0.0
1536033395822570753,,2736,,1536033395,817728768,'',1,0,,-0.0796108469367,-0.118710555136,2.95513367653,,-0.0266846995801,-0.106706358492,1.01179718971,,-0.183594733477,-0.0561346001923,5.65488052368,0.3509747684,0.0
1536033395922973705,,2737,,1536033395,917728768,'',1,0,,-0.0796108469367,-0.118710555136,3.09556245804,,-0.0295178890228,-0.0956666618586,0.00944709498435,,-0.188115909696,-0.0388389155269,4.2842464447,0.312690705061,0.0
1536033396022264297,,2738,,1536033396,18730816,'',1,0,,-0.0796108469367,-0.118710555136,3.19646859169,,-0.0324625372887,-0.0837039276958,-0.699999988079,,-0.194013342261,-0.0193804427981,3.77971577644,0.299856394529,0.0
1536033396122918683,,2739,,1536033396,118730816,'',1,0,,-0.0796108469367,-0.118710555136,3.24587583542,,-0.0355129241943,-0.0713081434369,-0.699999988079,,-0.199788719416,-0.00333589152433,4.70563936234,0.299943059683,0.0
1536033396223890641,,2740,,1536033396,218738240,'',1,0,,-0.0796108469367,-0.118710555136,3.2553665638,,-0.0380749888718,-0.0592820420861,-0.699999988079,,-0.204308927059,0.00801117904484,5.35341739655,0.299943059683,0.0
1536033396332852347,,2741,,1536033396,314738240,'',1,0,,-0.0796108469367,-0.118710555136,3.23892951012,,-0.0401292815804,-0.0481497459114,-0.699999988079,,-0.212431445718,0.0132324229926,5.75991249084,0.299943059683,0.0
1536033396422210878,,2742,,1536033396,418736704,'',1,0,,-0.0796108469367,-0.118710555136,3.20317864418,,-0.04164621979,-0.0369146987796,-0.699999988079,,-0.206273451447,0.0379817485809,6.03252363205,0.299943059683,0.0
1536033396522437437,,2743,,1536033396,514741824,'',1,0,,-0.0796108469367,-0.118710555136,3.15959620476,,-0.0419463142753,-0.0272224470973,-0.699999988079,,-0.197069421411,0.0470404177904,6.20340585709,0.299943059683,0.0
